Probabilities,FIPS
0.137758553,31057
0.115122162,30103
0.777117729,48113
0.347490251,17201
0.162988067,21157
0.17149289,18041
0.155807868,51023
0.263608158,27139
0.1296352,51105
0.176218733,28045
0.161711946,26035
0.128013968,19107
0.130546838,2282
0.149069995,39125
0.145146042,1007
0.135678083,21057
0.225640416,21179
0.157540739,37193
0.160173446,18027
0.149034262,54001
0.287965953,12091
0.537995338,48121
0.212755248,36079
0.147158444,6093
0.361583233,55009
0.144534215,35059
0.121161819,13265
0.815276802,6001
0.118483566,31025
0.137076721,28063
0.195233107,37069
0.154693007,18123
0.139672101,48345
0.695843279,26125
0.117518641,20085
0.467111796,13089
0.127418116,17059
0.139288113,48305
0.1681218,13119
0.189353183,12123
0.148350239,42087
0.138264745,23021
0.181250021,36077
0.126918107,31133
0.148237959,48129
0.116946951,28155
0.160256773,18161
0.211845398,18001
0.191490859,13311
0.134297118,29201
0.118660182,13253
0.104886249,13317
0.102405213,31139
0.107325137,47181
0.2824862,36027
0.13650547,48225
0.320069402,48209
0.17223233,47019
0.50346154,8031
0.12159206,47135
0.113825001,28053
0.286571443,42043
0.103852473,29035
0.098184824,21193
0.186961398,28081
0.135285139,8089
0.152045459,20061
0.192475036,19155
0.147094205,55061
0.252297014,28089
0.122022673,33019
0.117181458,20107
0.209338605,13021
0.189488456,42021
0.210575983,18105
0.159107074,17191
0.138780743,17171
0.148630857,13055
0.154171348,48241
0.15777503,21199
0.140748337,18137
0.128282577,31151
0.135071412,30069
0.314277887,48061
0.664806187,6111
0.144086748,5021
0.103541151,40139
0.179903656,17145
0.163490877,16085
0.157264128,48499
0.170415193,40125
0.185518697,29177
0.148835227,37165
0.121768065,21041
0.645893097,24510
0.190337092,26103
0.311123818,9011
0.10075134,38049
0.187275648,18075
0.248767391,27019
0.155742258,42047
0.180426076,47131
0.181615293,41059
0.161076322,49039
0.166866526,53041
0.712958574,12099
0.130080953,21089
0.133460417,22101
0.157795042,56021
0.114260234,38081
0.128701583,31093
0.145402431,21211
0.113247901,48035
0.182196826,26129
0.693530798,48439
0.165008798,37037
0.196454018,36037
0.11401388,50009
0.129281133,51017
0.148156837,30099
0.151804954,36031
0.138842583,37093
0.133999228,20149
0.216673791,42037
0.146288931,18009
0.19535777,21037
0.155883685,37091
0.135552272,48429
0.151427805,26151
0.347095251,13057
0.586010754,9001
0.185715333,39119
0.262267649,36111
0.220802471,42061
0.27341342,48091
0.162751883,12131
0.12258479,29107
0.123009443,19009
0.16762732,29103
0.118151948,17017
0.254225731,30081
0.127415061,19115
0.126315176,38067
0.157089218,49041
0.383665174,34035
0.129613191,20193
0.183518663,16069
0.142821878,28127
0.147977516,49007
0.146238074,39009
0.835853815,6085
0.183611095,37175
0.133333147,38059
0.155669853,13175
0.149666369,48349
0.118218541,54045
0.159157902,21109
0.608489931,17043
0.141178176,21049
0.531687617,34025
0.104536876,55019
0.156973705,49021
0.168119386,8051
0.144343868,31049
0.148901865,22007
0.1832138,20057
0.446669877,45045
0.122075841,48239
0.098735325,19071
0.122352771,17047
0.128280669,37053
0.112175748,19109
0.115094624,12039
0.138090968,38027
0.213992938,48099
0.581565797,39061
0.156019077,51119
0.145389691,20199
0.416656256,1089
0.277719498,12109
0.124662809,55113
0.196498901,20121
0.175158948,49029
0.173129544,1033
0.184766427,29145
0.351360857,42095
0.216482535,26073
0.544698179,53063
0.127824217,48315
0.172348812,24019
0.211964175,24037
0.112188928,31117
0.121907234,22123
0.607279241,41067
0.114963055,5041
0.449870765,53011
0.137113005,5047
0.139027551,19185
0.133981451,40071
0.130966797,39091
0.119658254,48237
0.106493287,47183
0.171009824,55057
0.133820549,29093
0.18022196,16033
0.204478085,55077
