FIPS,Probability
01001,51.6
01003,49.3
01005,81.7
01007,81.1
01009,56.9
01011,81.2
01013,79.2
01015,78.3
01017,79.5
01019,80.6
01021,79.9
01023,81.8
01025,81.5
01027,81.3
01029,80.0
01031,56.7
01033,74.9
01035,81.4
01037,80.1
01039,79.2
01041,77.5
01043,79.2
01045,69.7
01047,81.8
01049,80.9
01051,53.4
01053,82.4
01055,78.4
01057,80.9
01059,79.5
01061,81.1
01063,81.2
01065,83.7
01067,80.6
01069,74.3
01071,79.6
01073,56.7
01075,77.6
01077,75.1
01079,80.7
01081,49.1
01083,54.9
01085,80.7
01087,81.2
01089,47.5
01091,79.7
01093,77.7
01095,73.9
01097,78.2
01099,81.2
01101,76.1
01103,59.9
01105,83.4
01107,82.4
01109,81.9
01111,76.8
01113,80.0
01115,55.2
01117,40.9
01119,81.8
01121,80.1
01123,81.4
01125,51.5
01127,79.1
01129,80.5
01131,80.4
01133,75.8
02013,25.9
02016,24.4
02020,16.7
02050,40.7
02060,20.7
02068,20.1
02070,23.6
02090,22.1
02100,23.4
02105,28.7
02110,16.7
02122,17.3
02130,17.1
02150,20.1
02164,48.1
02170,22.8
02180,24.4
02185,21.3
02188,25.7
02195,25.8
02198,42.4
02220,17.1
02230,25.9
02240,19.8
02261,16.9
02275,28.7
02282,26.1
02290,53.6
04001,69.0
04003,65.3
04005,40.4
04007,65.6
04009,60.0
04011,43.4
04012,67.8
04013,48.5
04015,70.8
04017,68.5
04019,49.9
04021,50.7
04023,65.8
04025,47.3
04027,70.0
05001,77.4
05003,79.8
05005,72.2
05007,41.0
05009,74.0
05011,83.1
05013,78.7
05015,72.7
05017,81.9
05019,79.2
05021,79.4
05023,70.1
05025,72.2
05027,80.3
05029,73.6
05031,74.4
05033,50.1
05035,75.1
05037,75.7
05039,80.8
05041,78.5
05043,78.4
05045,38.1
05047,77.5
05049,78.1
05051,72.9
05053,50.4
05055,72.8
05057,80.5
05059,78.1
05061,81.2
05063,77.5
05065,80.7
05067,78.9
05069,81.7
05071,79.4
05073,82.9
05075,79.3
05077,81.2
05079,73.8
05081,80.9
05083,77.8
05085,39.3
05087,76.3
05089,76.3
05091,80.2
05093,80.4
05095,82.4
05097,76.3
05099,81.6
05101,77.0
05103,78.2
05105,77.7
05107,79.9
05109,79.4
05111,82.8
05113,74.2
05115,76.4
05117,76.7
05119,45.9
05121,75.1
05123,82.2
05125,45.9
05127,74.4
05129,81.0
05131,71.8
05133,76.0
05135,74.4
05137,74.8
05139,78.7
05141,79.2
05143,41.3
05145,76.1
05147,84.5
05149,76.9
06001,19.7
06003,30.7
06005,24.4
06007,39.7
06009,25.5
06011,25.9
06013,23.6
06015,44.1
06017,24.3
06019,25.6
06021,39.4
06023,40.0
06025,35.9
06027,24.0
06029,24.4
06031,26.6
06033,46.7
06035,23.1
06037,22.8
06039,27.2
06041,22.2
06043,40.7
06045,38.8
06047,36.7
06049,44.5
06051,22.3
06053,20.9
06055,22.1
06057,24.2
06059,21.9
06061,23.2
06063,27.0
06065,25.4
06067,23.0
06069,20.6
06071,23.8
06073,20.4
06075,24.4
06077,23.9
06079,22.1
06081,22.5
06083,22.3
06085,19.1
06087,19.0
06089,30.1
06091,32.4
06093,41.5
06095,23.8
06097,22.2
06099,23.8
06101,25.6
06103,44.9
06105,42.4
06107,36.4
06109,25.2
06111,21.4
06113,23.1
06115,26.9
08001,18.9
08003,31.1
08005,15.2
08007,18.2
08009,32.0
08011,34.3
08013,15.4
08014,15.9
08015,18.3
08017,19.3
08019,16.4
08021,36.1
08023,35.0
08025,33.7
08027,26.1
08029,29.2
08031,15.2
08033,29.1
08035,15.9
08037,14.7
08039,19.6
08041,16.4
08043,28.5
08045,15.6
08047,20.5
08049,16.7
08051,17.0
08053,18.2
08055,33.1
08057,20.9
08059,16.4
08061,28.1
08063,27.3
08065,19.8
08067,15.9
08069,16.1
08071,29.4
08073,27.5
08075,23.1
08077,17.4
08079,20.4
08081,14.9
08083,27.1
08085,19.5
08087,21.6
08089,29.8
08091,18.4
08093,17.7
08095,18.8
08097,15.7
08099,29.9
08101,28.0
08103,17.3
08105,30.0
08107,15.6
08109,34.3
08111,25.2
08113,15.6
08115,29.7
08117,15.6
08119,16.5
08121,24.1
08123,17.3
08125,19.7
09001,14.3
09003,14.3
09005,15.3
09007,14.8
09009,15.5
09011,15.1
09013,16.6
09015,14.9
10001,41.1
10003,34.9
10005,36.1
11001,25.7
12001,33.6
12003,32.7
12005,38.1
12007,59.5
12009,38.1
12011,33.1
12013,58.2
12015,50.6
12017,59.6
12019,36.4
12021,34.7
12023,54.2
12027,61.8
12029,62.0
12031,33.3
12033,46.6
12035,40.8
12037,54.0
12039,61.3
12041,60.0
12043,60.2
12045,57.1
12047,62.3
12049,61.4
12051,54.7
12053,59.2
12055,59.4
12057,34.8
12059,59.6
12061,39.4
12063,60.6
12065,58.4
12067,59.5
12069,40.9
12071,39.6
12073,34.2
12075,60.1
12077,55.7
12079,59.3
12081,37.8
12083,60.9
12085,34.1
12086,54.5
12087,29.7
12089,30.9
12091,30.9
12093,58.6
12095,32.8
12097,45.6
12099,31.5
12101,44.5
12103,35.1
12105,56.6
12107,60.6
12109,29.7
12111,44.5
12113,36.0
12115,33.5
12117,30.5
12119,42.1
12121,60.3
