FIPS,State,County,PCH_GROC_09_14,GROCPTH09,SUPERCPTH09,CONVSPTH09,SPECSPTH09,WICSPTH08,decline
1001,AL,Autauga,-33.333333333,0.110834026,0.0184723,0.535697793,0.0369447,0.1191564,1
1003,AL,Baldwin,20.833333333,0.13377479,0.0334437,0.663300001,0.117052941,0.1418746,0
1005,AL,Barbour,0.0,0.180786058,0.0,0.506200962,0.072314423,0.2010993,0
1007,AL,Bibb,-16.666666667,0.261540473,0.0435901,0.828211499,0.0,0.2779193,1
1009,AL,Blount,0.0,0.104637171,0.0174395,0.540625381,0.0348791,0.1730283,0
1011,AL,Bullock,0.0,0.182033312,0.0,0.182033312,0.091016656,0.1831334,0
1013,AL,Butler,0.0,0.143767671,0.0479226,1.150141372,0.0479226,0.2974567,0
1015,AL,Calhoun,8.0,0.211214653,0.0253458,0.743475579,0.0168972,0.1939659,0
1017,AL,Chambers,0.0,0.203583062,0.0290833,0.63983248,0.0290833,0.1740493,0
1019,AL,Cherokee,25.0,0.154714938,0.0386787,0.541502282,0.0386787,0.2048089,0
1021,AL,Chilton,-14.285714286,0.160978751,0.022997,0.850887683,0.091987858,0.1639498,1
1023,AL,Choctaw,-25.0,0.286204923,0.0,1.144819691,0.071551231,0.355038,1
1025,AL,Clarke,-16.666666667,0.230432445,0.076810815,0.691297335,0.076810815,0.533049,1
1027,AL,Clay,0.0,0.214193917,0.0,0.571183778,0.071397972,0.2172811,0
1029,AL,Cleburne,-33.333333333,0.201099343,0.0,0.737364258,0.0,0.3393051,1
1031,AL,Coffee,-28.571428571,0.141585761,0.0202265,0.606796117,0.0,0.1465263,1
1033,AL,Colbert,11.111111111,0.165362143,0.0183736,0.790063573,0.0551207,0.2013693,0
1035,AL,Conecuh,-33.333333333,0.226005725,0.0,1.205363869,0.075335242,0.1533978,1
1037,AL,Coosa,,0.0,0.0,0.78878177,0.0,0.1864976,0
1039,AL,Covington,-40.0,0.26561836,0.0265618,0.717169571,0.0531237,0.2728811,1
1041,AL,Crenshaw,-25.0,0.285225328,0.0,0.855675984,0.0,0.4384042,1
1043,AL,Cullman,50.0,0.124453958,0.0124454,0.672051375,0.074672375,0.1104051,0
1045,AL,Dale,14.285714286,0.140409997,0.0200586,0.661932844,0.0200586,0.1652893,0
1047,AL,Dallas,-11.111111111,0.205671976,0.0228524,0.89124523,0.0,0.3284304,1
1049,AL,DeKalb,16.666666667,0.169338451,0.0141115,0.649130729,0.0141115,0.1741806,0
1051,AL,Elmore,0.0,0.127174687,0.0254349,0.724895717,0.0,0.1536,0
1053,AL,Escambia,-50.0,0.209155795,0.0,0.862767654,0.0522889,0.1598636,1
1055,AL,Etowah,-31.578947368,0.182273429,0.0191867,0.604380318,0.0095933,0.1740223,1
1057,AL,Fayette,0.0,0.288850376,0.0577701,0.404390526,0.0,0.2844627,0
1059,AL,Franklin,33.333333333,0.189939536,0.0316566,0.728101554,0.0316566,0.1932305,0
1061,AL,Geneva,-9.090909091,0.412711515,0.0,0.562788429,0.0,0.2310269,1
1063,AL,Greene,-60.0,0.544543672,0.0,0.871269876,0.0,0.2212634,1
1065,AL,Hale,-25.0,0.249609984,0.0,0.811232449,0.0,0.2212022,1
1067,AL,Henry,-25.0,0.231978194,0.0,0.753929131,0.115989097,0.2406305,1
1069,AL,Houston,14.285714286,0.139303483,0.0298507,0.626865672,0.089552239,0.1820904,0
1071,AL,Jackson,-26.666666667,0.280578366,0.0187052,0.635977629,0.0374104,0.2266974,1
