pop_2009,per_capita_09,PCT_LACCESS_POP10,PCT_LACCESS_HHNV10,GROC09,RECFAC09,PCT_LACCESS_LOWI10,SUPERC09,CONVS09,SPECS09,WICS08,PCH_GROC_09_14,FFR09,FSR09,PCT_NSLP09,PCT_CACFP09,PCT_DIABETES_ADULTS08,PCT_OBESE_ADULTS08,METRO13
1997,47278,33.26264259,0.378773019,1,0,10.95551224,0,0,0,1,FALSE,1,3,13.55134283,2.286183103,10.8,29.9,0
720,43451,99.99999999,5.329153591,0,0,39.92891005,0,0,0,2,FALSE,0,2,8.887484884,1.409349234,7.7,24.3,0
2346378,39078,19.98502547,1.448072289,360,179,7.988986645,33,965,117,200,TRUE,1837,1554,13.13134268,1.224744981,9.3,28.3,1
295612,32801,24.68521412,1.198576192,55,24,6.217940312,5,112,24,42,FALSE,202,201,8.898951226,0.961596182,9.2,27.9,1
31411,31522,3.36870533,2.079532234,8,3,1.07736061,1,12,0,7,FALSE,20,27,13.22995017,1.060774254,10.5,32.3,0
24247,28184,21.42867736,3.940264565,5,3,9.148424604,0,12,0,6,FALSE,23,6,12.27079455,0.953634165,10.4,30.2,0
33042,39297,22.01077337,1.834056837,5,3,2.938262634,0,27,0,2,FALSE,17,19,9.549006101,0.747406627,10.4,26.7,1
128530,42754,22.29678253,1.364975843,12,14,3.508918389,3,34,14,13,TRUE,59,55,11.67903545,1.773987916,5.5,28.2,1
25578,25362,0.072698814,7.512082361,6,0,0.024646902,1,23,0,6,FALSE,6,9,9.549006101,0.747406627,12.6,32.6,0
43471,32544,44.8123662,1.939944613,4,3,17.0038889,1,20,1,0,FALSE,24,28,13.74378556,1.291363538,12.4,34,1
30856,25460,6.16186331,5.39709304,11,3,3.38935578,0,27,2,7,FALSE,19,21,9.142336596,0.840354004,9.9,30,0
10552,34506,25.41497764,2.691327573,4,1,8.385151995,0,10,0,3,FALSE,3,4,13.11203063,1.247799097,8.6,28.3,0
665,44595,0.380989836,3.583096529,2,0,0.089078193,0,0,0,2,FALSE,1,0,7.66729709,1.413655216,7.3,29.2,0
19659,29875,14.66197948,2.539332102,5,2,6.707415476,0,7,1,5,FALSE,11,8,9.703633786,1.072691744,10.8,29.9,0
22941,23803,4.559752683,3.458580095,6,1,2.144660992,1,19,0,6,FALSE,7,6,12.31505542,0.916089934,11.1,32.3,1
6855,23608,1.98378026,4.671143638,2,0,1.262780211,0,5,0,4,FALSE,2,4,13.22995017,1.060774254,13,32,0
42974,30813,14.35836964,1.863202899,4,6,4.491757022,1,30,3,5,TRUE,24,21,13.22995017,1.060774254,10.5,28.2,0
69258,27747,12.09043723,4.941376088,15,3,5.543730342,0,53,3,17,FALSE,34,52,10.25076102,1.358123605,10.8,28.6,0
31389,31201,4.543681276,6.802818086,6,2,1.146443899,1,6,1,6,FALSE,22,16,12.27079455,0.953634165,10.1,29.7,0
16479,25891,1.071521641,5.441058422,5,1,0.511702833,0,6,1,4,FALSE,5,9,11.41667358,1.242679735,12.5,35.4,0
181153,39425,35.10555743,1.517841008,28,22,8.257073571,4,81,12,20,FALSE,142,181,8.417275916,0.974292275,9.5,24.1,1
649702,40741,21.61400516,0.741521544,51,55,4.431108481,14,207,23,44,TRUE,391,324,13.13134268,1.224744981,8.5,28.5,1
99666,49390,39.22229932,1.775332767,35,19,5.430006093,0,30,8,6,FALSE,67,84,9.275093311,1.440967568,7.7,27.4,1
44788,31119,19.57463289,3.257174911,20,5,8.444224914,0,33,5,13,FALSE,34,55,8.590151677,0.886967643,8,25.3,0
246476,38990,26.26250959,0.962034778,29,27,6.431062854,3,92,19,33,TRUE,153,214,10.51943013,1.138312513,7.4,27.4,1
4523,25664,26.8103112,1.558892488,1,0,13.54852624,0,3,0,1,FALSE,2,7,11.03772707,2.007890844,6.6,22.3,0
1774,21821,68.93922856,13.131281,0,0,43.93385593,0,3,0,0,FALSE,1,0,13.13427904,1.424865129,16.2,32.2,0
1498539,46386,10.62225976,0.449325001,359,146,1.604128383,5,300,169,122,TRUE,1072,1303,8.590151677,0.886967643,7.6,19.5,1
25122,39064,27.94406464,1.738678178,6,1,5.81467167,0,14,0,5,FALSE,14,13,13.55134283,2.286183103,8.2,28,1
7842,25314,10.36345241,7.014357452,1,0,4.367998537,0,5,0,0,TRUE,1,0,13.74378556,1.291363538,15.3,41.8,0
59959,28079,4.731668822,3.539879434,9,4,2.173516896,0,37,0,9,FALSE,28,13,10.25076102,1.358123605,9.3,31.4,1
19331,27937,27.43465761,1.606039972,4,2,7.494429091,1,8,0,4,FALSE,14,8,12.27079455,0.953634165,9.5,30.5,0
1200,28266,18.45374934,2.762265991,1,0,8.214342799,0,3,0,1,FALSE,0,3,13.13134268,1.224744981,11.6,26.9,0
1200890,48577,30.00516957,0.911985424,267,166,4.596463374,24,433,120,196,FALSE,937,1016,9.142336596,0.840354004,9.5,26.4,1
13369,32879,15.10247918,2.368784656,3,0,4.435854726,0,4,1,3,FALSE,6,10,12.64728619,1.678405334,9.4,30.4,1
690658,36417,26.25477468,1.624092665,136,55,8.50154788,9,290,31,111,TRUE,537,504,13.13427904,1.424865129,10.1,26.7,1
5631,31287,86.88582599,6.109375657,0,0,32.62871582,0,3,0,1,FALSE,1,3,8.898951226,0.961596182,9.5,26.7,0
5927,31235,33.88572797,1.115758103,1,0,15.35621461,0,2,0,1,FALSE,3,3,13.13134268,1.224744981,10.2,27.4,1
22152,27177,3.236985091,4.88466225,5,2,1.406190138,0,13,0,6,FALSE,13,22,13.13427904,1.424865129,10.6,27.1,0
22482,25483,23.65765468,2.311776565,2,2,10.05937245,1,27,1,4,TRUE,8,11,8.417275916,0.974292275,10.2,30.9,0
46662,28615,7.94106039,5.550648114,16,3,2.966581583,1,17,5,5,FALSE,20,32,9.130029932,0.979232698,9.3,30.5,0
17433,30680,4.260824576,4.560499403,8,2,2.156861699,0,18,3,8,FALSE,6,16,8.17218526,0.932108828,9.5,31.2,0
62280,31711,20.45768936,4.665708719,18,8,9.611708916,2,38,5,11,FALSE,40,73,9.275093311,1.440967568,8.4,27.5,0
2752,34314,18.14699985,2.324947745,2,0,6.18852551,0,1,0,1,FALSE,2,0,13.55134283,2.286183103,10.3,28.8,0
3670,28683,14.54878585,1.050998418,1,0,5.187152933,0,4,0,1,FALSE,4,3,13.13134268,1.224744981,10.9,26.8,0
10164,28230,12.99611492,4.384345421,3,0,5.947416748,0,11,0,0,TRUE,3,4,13.74378556,1.291363538,12.7,31.4,0
7466,27666,0,1.312988213,1,0,0,0,3,0,2,FALSE,5,2,12.27079455,0.953634165,10.4,29.4,1
34351,27041,7.137931607,9.178532028,6,5,2.761329843,1,13,3,7,TRUE,12,22,12.27079455,0.953634165,9.7,29.5,0
26949,26010,0,3.403797633,5,2,0,1,15,3,5,FALSE,16,31,13.13427904,1.424865129,10.3,27,0
39185,32378,28.49450405,4.668610521,14,3,12.09874548,0,29,1,15,FALSE,19,32,10.77667438,1.05044108,9.4,30.8,0
8760,29916,7.338986731,4.178166117,3,0,2.958267888,0,8,0,4,TRUE,5,4,13.13427904,1.424865129,13.5,30.4,0
